Type of Food,Water Content (g),Vitamin A Quantity (mcg),Vitamin B Quantity (mg),Vitamin C Quantity (mg),Vitamin D Quantity (mcg),Alcohol Content (g),Iron Content (mg),Fat Content (g),Missing or Very Low Nutrient
34,10.37322672,754.8447038,0.38980851,26.42725956,0.902935799,2.568926995,2.046379959,0.228630955,Fiber
35,44.71918355,549.0129538,1.184588039,28.36329964,0.947278192,2.823299328,1.602919109,2.991427615,Vitamin B6
36,4.810794294,416.6865139,0.281933782,24.28460212,0.18525031,0.011232528,0.93473739,3.407031651,Fiber
37,56.84359882,190.8796494,0.413088352,0.652157915,0.218885741,1.493351771,2.619327596,2.804066041,Fiber
38,6.171358696,842.2990999,0.018768552,0.773912517,0.000227042,1.965912863,0.804737551,2.714036969,Vitamin D
39,91.89317989,541.978732,1.538866604,29.40004807,0.641209821,1.593201715,1.297526737,2.35768371,Fiber
40,78.15215991,741.0042459,2.152037541,28.10268252,0.187241175,2.469256439,3.749582936,3.950373645,Protein
41,89.01587315,120.0084206,1.172052261,14.79270924,0.846592241,1.03019063,2.263209449,2.011996994,Fiber
42,80.38290861,598.9639615,0.395636778,23.67011902,0.336933536,0.815063439,2.491074948,3.474460946,Vitamin B6
43,37.39003686,889.733269,0.15259589,2.187556466,0.614423703,1.239486192,2.865979976,4.79293452,Vitamin D
44,67.95202073,56.98209001,0.051710913,29.41627405,0.535400676,1.516471339,1.516176487,3.411402084,Iron
45,80.16088698,160.5785288,0.655852781,20.6405876,0.324608336,1.834830141,1.60725971,4.73184205,Fats
46,93.55083465,243.7612725,2.264733178,24.43363417,0.969896864,2.564146532,0.161334655,3.161131264,Vitamin B6
47,10.45510466,593.077019,1.035415903,4.776699542,0.092942033,1.238057793,1.542955319,3.377839227,Vitamin D
48,11.06414669,173.4140208,1.497245416,20.38498337,0.114622069,0.507164125,4.621096493,1.15912783,Vitamin B6
49,38.43832559,696.3284233,0.909615103,12.09969264,0.696355109,1.95966984,0.548030256,1.7936531,Vitamin D
50,59.17482645,708.518965,1.691196871,21.49291785,0.479910342,2.489481908,1.240082297,3.432957013,Fiber
